🇭🇰自用频道,#genre#
翡翠台,http://154.204.182.11:9906/jade_twn/playlist.m3u8?tid=MDAD1890217018902170&ct=19249&tsum=36346362d72a1e85802fa5d3eee3861c
翡翠台,https://pull-l3-cny.douyincdn.com/live/d77db712b48f59db5d20a9d1dc9cd2f5.flv
无线新闻(群晖),http://192.168.1.254:8080/tvb.php?id=0
无线财经(群晖),http://192.168.1.254:8080/tvb.php?id=2
无线新闻(1080P),http://192.168.1.254:8080/tvb.php?id=0&hq
无线财经(1080P),http://192.168.1.254:8080/tvb.php?id=2&hq
无线新闻(本地),http://127.0.0.1:8080/tvb.php?id=1
无线财经(本地),http://127.0.0.1:8080/tvb.php?id=2
南国都市4K,http://ye23.win/iptv/gztv.php?id=shenghuo?zguangd
南国都市4K,http://ye23.win/iptv/gztv.php?id=shenghuo
广东综艺4K,http://120.237.252.67:8800/hls/10/index.m3u8
广州影视,http://192.168.1.254:8080/gztv.php?id=yingshi
广州新闻,http://192.168.1.254:8080/gztv.php?id=gzxw
广州新闻,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzxw
广州法制,http://192.168.1.254:8080/gztv.php?id=gzfz
广州竞赛,http://ye23.win/iptv/gztv.php?id=gzjs
广州综合,http://192.168.1.254:8080/gztv.php?id=gzzh
广东珠江,http://121.33.239.242:9901/tsfile/live/1002_1.m3u8
广东珠江,http://120.237.252.67:8800/hls/2/index.m3u8
广东珠江,http://py.fatcat.icu:8880/hls/2/index.m3u8
广东卫视,http://120.237.252.67:8800/hls/1/index.m3u8
广东卫视,http://py.fatcat.icu:8880/hls/1/index.m3u8
广东体育,http://120.237.252.67:8800/hls/5/index.m3u8
广东体育,http://py.fatcat.icu:8880/hls/5/index.m3u8
经济科教,http://120.237.252.67:8800/hls/7/index.m3u8
广东新闻,http://120.237.252.67:8800/hls/3/index.m3u8
广东公共,http://120.237.252.67:8800/hls/4/index.m3u8
粤语电影,http://epg.112114.xyz/huya/11352894
斗鱼粤语电影16,http://epg.112114.xyz/douyu/1226741 
斗鱼粤语2电影20,http://epg.112114.xyz/douyu/2466104

🇭🇭广东组播代理,#genre#
广东珠江,http://ct.whosayssowhat.top:4022/udp/239.77.0.3:5146
